hour_utc,n,mean_pct,vol_pct,skewness
0,1536,0.000965,0.040597,-2.600769
1,1544,0.001755,0.043364,-0.097452
2,1544,-0.00168,0.037114,-0.072464
3,1543,0.00012,0.031312,0.776732
4,1544,0.000384,0.027294,0.377951
5,1543,8e-05,0.028843,0.040043
6,1544,0.000346,0.037715,0.283297
7,1544,0.000897,0.050589,-0.051201
8,1536,0.001079,0.06046,-0.548883
9,1540,0.001003,0.051101,0.323429
10,1540,0.000219,0.042821,0.058794
11,1540,-0.001264,0.054337,3.507671
12,1540,-0.002212,0.047734,0.216748
13,1532,0.003811,0.078338,2.411744
14,1536,0.002227,0.061242,-0.377937
15,1540,0.00185,0.075477,0.85468
16,1540,-0.001703,0.060176,0.089655
17,1536,-0.00139,0.046907,-0.147735
18,1536,-0.001842,0.049149,-0.533217
19,1536,0.000579,0.047281,-0.584306
20,1536,-0.000383,0.043159,0.028602
21,1536,-0.001135,0.037166,-1.907562
22,1541,-0.001083,0.051686,-8.032238
23,1543,0.003875,0.038637,0.10559
