direction,entry_time,entry_price,exit_time,exit_price,exit_reason,sl_dist_pct,gross_pnl_pct,net_pnl_pct,r_multiple
short,2025-01-03 10:30:00,1.02751,2025-01-03 12:45:00,1.02997,TECH,0.02,-0.0023941372833355674,-0.0026941372833355673,-0.13470686416677835
short,2025-01-06 10:45:00,1.03753,2025-01-06 16:15:00,1.03878,TECH,0.02,-0.0012047844399679752,-0.0015047844399679751,-0.07523922199839876
short,2025-01-07 07:30:00,1.04053,2025-01-07 20:00:00,1.03468,TECH,0.02,0.005622134873573959,0.005322134873573959,0.26610674367869797
long,2025-01-08 10:45:00,1.02989,2025-01-08 19:45:00,1.03083,TECH,0.02,0.000912718834050181,0.0006127188340501811,0.030635941702509054
short,2025-01-09 07:30:00,1.03011,2025-01-09 09:15:00,1.03123,TECH,0.02,-0.0010872625253613786,-0.0013872625253613785,-0.06936312626806893
short,2025-01-10 08:45:00,1.02505,2025-01-10 15:45:00,1.0243,TECH,0.02,0.0007316716257743802,0.0004316716257743802,0.021583581288719008
long,2025-01-13 09:15:00,1.02064,2025-01-13 16:15:00,1.0219,TECH,0.02,0.001234519517165738,0.0009345195171657382,0.04672597585828691
short,2025-01-14 07:00:00,1.0254,2025-01-14 10:15:00,1.02745,TECH,0.02,-0.001999219816656802,-0.002299219816656802,-0.1149609908328401
short,2025-01-15 08:00:00,1.02996,2025-01-15 09:00:00,1.03444,TECH,0.02,-0.004349683482853741,-0.004649683482853741,-0.23248417414268707
long,2025-01-16 10:45:00,1.03013,2025-01-16 15:15:00,1.02981,TECH,0.02,-0.00031064040460922215,-0.0006106404046092222,-0.03053202023046111
short,2025-01-17 08:45:00,1.02954,2025-01-17 11:30:00,1.02938,TECH,0.02,0.00015540921188097402,-0.00014459078811902596,-0.007229539405951298
long,2025-01-21 08:30:00,1.03628,2025-01-21 16:15:00,1.04237,TECH,0.02,0.005876790056741352,0.005576790056741352,0.2788395028370676
short,2025-01-22 08:45:00,1.04285,2025-01-22 14:45:00,1.04196,TECH,0.02,0.0008534305029487053,0.0005534305029487054,0.02767152514743527
short,2025-01-23 08:15:00,1.03984,2025-01-23 10:30:00,1.0395,TECH,0.02,0.0003269733805200867,2.69733805200867e-05,0.001348669026004335
short,2025-01-23 10:45:00,1.03955,2025-01-23 12:15:00,1.04209,TECH,0.02,-0.0024433649175123725,-0.0027433649175123724,-0.13716824587561863
short,2025-01-24 08:00:00,1.04737,2025-01-24 10:45:00,1.05102,TECH,0.02,-0.0034849193694684337,-0.0037849193694684336,-0.18924596847342168
short,2025-01-27 10:45:00,1.04954,2025-01-27 16:30:00,1.04898,TECH,0.02,0.0005335670865330468,0.0002335670865330468,0.011678354326652339
long,2025-01-28 10:15:00,1.04374,2025-01-28 12:45:00,1.04307,TECH,0.02,-0.0006419223178185645,-0.0009419223178185644,-0.04709611589092822
long,2025-01-29 10:45:00,1.04252,2025-01-29 15:15:00,1.04193,TECH,0.02,-0.0005659363849133527,-0.0008659363849133526,-0.043296819245667625
long,2025-01-30 09:00:00,1.0456,2025-01-30 12:45:00,1.04156,TECH,0.02,-0.003863810252486652,-0.004163810252486652,-0.20819051262433258
long,2025-01-31 08:30:00,1.03882,2025-01-31 10:15:00,1.03704,TECH,0.02,-0.001713482605263775,-0.002013482605263775,-0.10067413026318875
short,2025-02-04 07:30:00,1.03249,2025-02-04 09:30:00,1.03494,TECH,0.02,-0.0023729043380566043,-0.0026729043380566042,-0.1336452169028302
short,2025-02-05 10:30:00,1.04202,2025-02-05 10:45:00,1.04173,TECH,0.02,0.00027830559874081253,-2.1694401259187443e-05,-0.001084720062959372
long,2025-02-06 09:30:00,1.03671,2025-02-06 18:00:00,1.03822,TECH,0.02,0.001456530755949012,0.0011565307559490122,0.05782653779745061
short,2025-02-10 08:00:00,1.03137,2025-02-11 00:30:00,1.03039,TECH,0.02,0.0009501924624528356,0.0006501924624528355,0.03250962312264177
short,2025-02-12 08:45:00,1.03279,2025-02-12 12:00:00,1.0391,TECH,0.02,-0.006109664113711224,-0.006409664113711224,-0.3204832056855612
short,2025-02-14 07:00:00,1.04674,2025-02-14 09:00:00,1.04882,TECH,0.02,-0.0019871219213941204,-0.0022871219213941203,-0.11435609606970601
long,2025-02-17 07:00:00,1.04819,2025-02-17 08:15:00,1.04715,TECH,0.02,-0.000992186531067774,-0.0012921865310677738,-0.06460932655338869
short,2025-02-18 07:15:00,1.04585,2025-02-18 11:30:00,1.04627,TECH,0.02,-0.0004015872257016656,-0.0007015872257016655,-0.03507936128508327
long,2025-02-19 09:15:00,1.04321,2025-02-19 11:30:00,1.04066,TECH,0.02,-0.002444378408949351,-0.002744378408949351,-0.13721892044746756
long,2025-02-21 09:30:00,1.0477,2025-02-21 11:15:00,1.04538,TECH,0.02,-0.0022143743438008015,-0.0025143743438008014,-0.12571871719004007
short,2025-02-27 08:30:00,1.04819,2025-02-28 02:15:00,1.03904,TECH,0.02,0.008729333422375706,0.008429333422375706,0.42146667111878533
short,2025-03-04 10:30:00,1.0515,2025-03-04 13:00:00,1.05414,TECH,0.02,-0.0025106990014265103,-0.0028106990014265102,-0.14053495007132552
short,2025-03-05 07:30:00,1.0703,2025-03-05 08:45:00,1.07053,TECH,0.02,-0.00021489302064837192,-0.0005148930206483719,-0.025744651032418592
long,2025-03-06 08:00:00,1.08,2025-03-06 12:45:00,1.07985,TECH,0.02,-0.00013888888888897638,-0.00043888888888897633,-0.021944444444448815
short,2025-03-07 07:45:00,1.08506,2025-03-07 09:45:00,1.08687,TECH,0.02,-0.0016681105192340418,-0.001968110519234042,-0.0984055259617021
short,2025-03-10 09:15:00,1.08386,2025-03-10 16:45:00,1.08345,TECH,0.02,0.0003782776373332547,7.827763733325472e-05,0.003913881866662736
